Site,Location,Plot,Plot.Name,Class,Tag,Class.Binary,Year span,Year Start,Year End,Size1,Size2,Surv,Flower,Fruits,Row.Order,Fruits plus 1
Site 2,Ridge,Plot 1,S2R1,In,2,Neighbor,2013-2014,2013,2014,2.754167798,1.837877066,1,0,,1,
Site 2,Ridge,Plot 1,S2R1,In,3,Neighbor,2013-2014,2013,2014,1.927489225,,,0,,2,
Site 2,Ridge,Plot 1,S2R1,In,5,Neighbor,2013-2014,2013,2014,3.783787215,3.488136973,1,1,4,3,5
Site 2,Ridge,Plot 1,S2R1,Edge,9,Neighbor,2013-2014,2013,2014,1.550194994,1.011198493,1,0,,4,
Site 2,Ridge,Plot 1,S2R1,Edge,10,Neighbor,2013-2014,2013,2014,2.34870269,1.65555551,1,0,,5,
Site 2,Ridge,Plot 1,S2R1,In,13,Neighbor,2013-2014,2013,2014,-0.529246548,0.269261148,1,0,,6,
Site 2,Ridge,Plot 1,S2R1,In,16,Neighbor,2013-2014,2013,2014,1.144729886,3.090640035,1,0,,7,
Site 2,Ridge,Plot 1,S2R1,In,19,Neighbor,2013-2014,2013,2014,0.857047813,3.852780087,1,1,18,8,19
Site 2,Ridge,Plot 1,S2R1,In,24,Neighbor,2013-2014,2013,2014,2.466485726,0.451582705,1,0,,9,
Site 2,Ridge,Plot 1,S2R1,In,27,Neighbor,2013-2014,2013,2014,2.34870269,0.857047813,1,0,,10,
Site 2,Ridge,Plot 1,S2R1,In,36,Neighbor,2013-2014,2013,2014,1.992027746,0.451582705,1,0,,11,
Site 2,Ridge,Plot 1,S2R1,In,37,Neighbor,2013-2014,2013,2014,2.531024247,2.620636406,1,1,50,12,51
Site 2,Ridge,Plot 1,S2R1,In,40,Neighbor,2013-2014,2013,2014,2.215171298,1.837877066,1,0,,13,
Site 2,Ridge,Plot 1,S2R1,Edge,52,Neighbor,2013-2014,2013,2014,1.837877066,3.244790715,1,0,,14,
Site 2,Ridge,Plot 1,S2R1,Neighbor,53,Neighbor,2013-2014,2013,2014,2.243342175,1.65555551,1,0,,15,
Site 2,Ridge,Plot 1,S2R1,In,56,Neighbor,2013-2014,2013,2014,3.527357687,4.476934396,1,1,7,16,8
Site 2,Ridge,Plot 1,S2R1,Neighbor,62,Neighbor,2013-2014,2013,2014,3.159632906,2.97731135,1,1,38,17,39
Site 2,Ridge,Plot 1,S2R1,In,69,Neighbor,2013-2014,2013,2014,0.046117597,1.992027746,1,0,,18,
Site 2,Ridge,Plot 1,S2R1,In,71,Neighbor,2013-2014,2013,2014,3.932822795,3.447314979,1,1,5,19,6
Site 2,Ridge,Plot 1,S2R1,In,75,Neighbor,2013-2014,2013,2014,2.061020618,0.451582705,1,0,,20,
Site 2,Ridge,Plot 1,S2R1,Out,77,Alone,2013-2014,2013,2014,1.550194994,1.878699061,1,0,,21,
Site 2,Ridge,Plot 1,S2R1,In,78,Neighbor,2013-2014,2013,2014,1.65555551,0.046117597,1,0,,22,
Site 2,Ridge,Plot 1,S2R1,In,79,Neighbor,2013-2014,2013,2014,1.367873437,1.837877066,1,0,,23,
Site 2,Ridge,Plot 1,S2R1,In,83,Neighbor,2013-2014,2013,2014,2.109810782,3.313783586,1,0,,24,
Site 2,Ridge,Plot 1,S2R1,In,88,Neighbor,2013-2014,2013,2014,3.208423071,1.550194994,1,0,,25,
Site 2,Ridge,Plot 1,S2R1,In,92,Neighbor,2013-2014,2013,2014,1.367873437,2.061020618,1,0,,26,
Site 2,Ridge,Plot 1,S2R1,In,94,Neighbor,2013-2014,2013,2014,2.125559139,1.837877066,1,0,,27,
Site 2,Ridge,Plot 1,S2R1,In,96,Neighbor,2013-2014,2013,2014,3.254943086,2.97731135,1,0,,28,
Site 2,Ridge,Plot 1,S2R1,In,99,Neighbor,2013-2014,2013,2014,1.992027746,1.550194994,1,0,,29,
Site 2,Ridge,Plot 1,S2R1,In,A,Neighbor,2013-2014,2013,2014,1.144729886,1.773338545,1,0,,30,
Site 2,Ridge,Plot 1,S2R1,In,B,Neighbor,2013-2014,2013,2014,0.046117597,0.451582705,1,0,,31,
Site 2,Ridge,Plot 1,S2R1,In,C,Neighbor,2013-2014,2013,2014,-2.033323944,-1.340176764,1,0,,32,
Site 2,Ridge,Plot 1,S2R1,Edge,D,Neighbor,2013-2014,2013,2014,-0.647029583,-0.241564475,1,0,,33,
Site 2,Ridge,Plot 1,S2R1,Edge,E,Neighbor,2013-2014,2013,2014,-2.033323944,-2.033323944,1,0,,34,
Site 2,Ridge,Plot 1,S2R1,In,F,Neighbor,2013-2014,2013,2014,-2.726471125,-2.033323944,1,0,,35,
Site 2,Ridge,Plot 1,S2R1,In,G,Neighbor,2013-2014,2013,2014,-0.241564475,,,0,,36,
Site 2,Ridge,Plot 1,S2R1,In,H,Neighbor,2013-2014,2013,2014,-0.647029583,,,0,,37,
Site 2,Ridge,Plot 1,S2R1,In,I,Neighbor,2013-2014,2013,2014,2.284164169,,,1,14,38,15
Site 2,Ridge,Plot 1,S2R1,In,J,Neighbor,2013-2014,2013,2014,1.144729886,,,0,,39,
Site 2,Ridge,Plot 1,S2R1,In,K,Neighbor,2013-2014,2013,2014,2.397492854,,,0,,40,
